# layered-euclid-burst control log
sample_rate_hz=48000 frames=772364 bpm=110 beats=24
euclid_steps=13 fills=7 rotate=4
burst_cluster=3 spacing_samples=420
euclid_seed=0xe0c11d burst_seed=0xb0057d
events=153
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_tone,resonator_color,granular_spray
82176,0.917635,0.885023,0.794416
82368,0.916734,0.885383,0.794620
82560,0.915829,0.885742,0.794828
82752,0.914920,0.886100,0.795039
82944,0.914006,0.886458,0.795253
83136,0.913088,0.886814,0.795471
83328,0.912166,0.887170,0.795691
83520,0.911240,0.887525,0.795915
83712,0.910309,0.887879,0.796143
83904,0.909374,0.888232,0.796373
84096,0.908435,0.888584,0.796607
84288,0.907492,0.888935,0.796843
84480,0.906544,0.889285,0.797083
84672,0.905593,0.889635,0.797326
84864,0.904637,0.889984,0.797572
85056,0.903677,0.890331,0.797822
85248,0.902713,0.890678,0.798074
85440,0.901745,0.891024,0.798330
85632,0.900773,0.891369,0.798588
85824,0.899796,0.891714,0.798850
86016,0.898816,0.892057,0.799114
86208,0.897832,0.892399,0.799382
86400,0.896843,0.892741,0.799653
86592,0.895851,0.893081,0.799926
86784,0.894854,0.893421,0.800203
86976,0.893853,0.893760,0.800483
87168,0.892849,0.894098,0.800765
